Date,Day,Fajr,Sunrise,Dhuhr,Asar,Maghrib,Isha
1,Monday,3:18 AM,5:01 AM,12:12 PM,3:56 PM,7:22 PM,9:06 PM
2,Tuesday,3:18 AM,5:02 AM,12:12 PM,3:57 PM,7:22 PM,9:05 PM
3,Wednesday,3:19 AM,5:02 AM,12:12 PM,3:57 PM,7:22 PM,9:05 PM
4,Thursday,3:20 AM,5:02 AM,12:12 PM,3:57 PM,7:22 PM,9:05 PM
5,Friday,3:20 AM,5:03 AM,12:13 PM,3:57 PM,7:22 PM,9:05 PM
6,Saturday,3:21 AM,5:03 AM,12:13 PM,3:57 PM,7:22 PM,9:04 PM
7,Sunday,3:22 AM,5:04 AM,12:13 PM,3:57 PM,7:22 PM,9:04 PM
8,Monday,3:22 AM,5:04 AM,12:13 PM,3:58 PM,7:21 PM,9:03 PM
9,Tuesday,3:23 AM,5:05 AM,12:13 PM,3:58 PM,7:21 PM,9:03 PM
10,Wednesday,3:24 AM,5:06 AM,12:13 PM,3:58 PM,7:21 PM,9:02 PM
11,Thursday,3:25 AM,5:06 AM,12:13 PM,3:58 PM,7:20 PM,9:02 PM
12,Friday,3:26 AM,5:07 AM,12:14 PM,3:58 PM,7:20 PM,9:01 PM
13,Saturday,3:26 AM,5:07 AM,12:14 PM,3:58 PM,7:20 PM,9:01 PM
14,Sunday,3:27 AM,5:08 AM,12:14 PM,3:58 PM,7:19 PM,9:00 PM
15,Monday,3:28 AM,5:09 AM,12:14 PM,3:58 PM,7:19 PM,8:59 PM
16,Tuesday,3:29 AM,5:09 AM,12:14 PM,3:58 PM,7:19 PM,8:58 PM
17,Wednesday,3:30 AM,5:10 AM,12:14 PM,3:58 PM,7:18 PM,8:58 PM
18,Thursday,3:31 AM,5:10 AM,12:14 PM,3:58 PM,7:18 PM,8:57 PM
19,Friday,3:32 AM,5:11 AM,12:14 PM,3:59 PM,7:17 PM,8:56 PM
20,Saturday,3:33 AM,5:12 AM,12:14 PM,3:59 PM,7:16 PM,8:55 PM
21,Sunday,3:34 AM,5:12 AM,12:14 PM,3:59 PM,7:16 PM,8:54 PM
22,Monday,3:35 AM,5:13 AM,12:14 PM,3:59 PM,7:15 PM,8:53 PM
23,Tuesday,3:36 AM,5:14 AM,12:14 PM,3:59 PM,7:15 PM,8:53 PM
24,Wednesday,3:37 AM,5:14 AM,12:14 PM,3:58 PM,7:14 PM,8:52 PM
25,Thursday,3:38 AM,5:15 AM,12:14 PM,3:58 PM,7:13 PM,8:51 PM
26,Friday,3:39 AM,5:16 AM,12:14 PM,3:58 PM,7:13 PM,8:50 PM
27,Saturday,3:40 AM,5:16 AM,12:14 PM,3:58 PM,7:12 PM,8:49 PM
28,Sunday,3:41 AM,5:17 AM,12:14 PM,3:58 PM,7:11 PM,8:47 PM
29,Monday,3:42 AM,5:18 AM,12:14 PM,3:58 PM,7:10 PM,8:46 PM
30,Tuesday,3:43 AM,5:19 AM,12:14 PM,3:58 PM,7:10 PM,8:45 PM
31,Wednesday,3:44 AM,5:19 AM,12:14 PM,3:58 PM,7:09 PM,8:44 PM
