Date,Day,Fajr,Sunrise,Dhuhr,Asar,Maghrib,Isha
1,Sunday,5:06 AM,6:33 AM,1:11 PM,5:50 PM,7:49 PM,9:15 PM
2,Monday,5:07 AM,6:34 AM,1:11 PM,5:49 PM,7:47 PM,9:13 PM
3,Tuesday,5:09 AM,6:35 AM,1:10 PM,5:47 PM,7:45 PM,9:11 PM
4,Wednesday,5:10 AM,6:36 AM,1:10 PM,5:46 PM,7:43 PM,9:09 PM
5,Thursday,5:12 AM,6:37 AM,1:10 PM,5:44 PM,7:41 PM,9:06 PM
6,Friday,5:13 AM,6:39 AM,1:09 PM,5:43 PM,7:39 PM,9:04 PM
7,Saturday,5:15 AM,6:40 AM,1:09 PM,5:41 PM,7:38 PM,9:02 PM
8,Sunday,5:16 AM,6:41 AM,1:09 PM,5:40 PM,7:36 PM,9:00 PM
9,Monday,5:18 AM,6:42 AM,1:08 PM,5:38 PM,7:34 PM,8:58 PM
10,Tuesday,5:19 AM,6:44 AM,1:08 PM,5:37 PM,7:32 PM,8:56 PM
11,Wednesday,5:21 AM,6:45 AM,1:08 PM,5:35 PM,7:30 PM,8:54 PM
12,Thursday,5:22 AM,6:46 AM,1:07 PM,5:33 PM,7:28 PM,8:51 PM
13,Friday,5:24 AM,6:47 AM,1:07 PM,5:32 PM,7:26 PM,8:49 PM
14,Saturday,5:25 AM,6:48 AM,1:07 PM,5:30 PM,7:24 PM,8:47 PM
15,Sunday,5:26 AM,6:50 AM,1:06 PM,5:29 PM,7:22 PM,8:45 PM
16,Monday,5:28 AM,6:51 AM,1:06 PM,5:27 PM,7:20 PM,8:43 PM
17,Tuesday,5:29 AM,6:52 AM,1:06 PM,5:25 PM,7:18 PM,8:41 PM
18,Wednesday,5:31 AM,6:53 AM,1:05 PM,5:24 PM,7:16 PM,8:39 PM
19,Thursday,5:32 AM,6:55 AM,1:05 PM,5:22 PM,7:14 PM,8:37 PM
20,Friday,5:33 AM,6:56 AM,1:05 PM,5:21 PM,7:13 PM,8:35 PM
21,Saturday,5:35 AM,6:57 AM,1:04 PM,5:19 PM,7:11 PM,8:33 PM
22,Sunday,5:36 AM,6:58 AM,1:04 PM,5:17 PM,7:09 PM,8:30 PM
23,Monday,5:37 AM,6:59 AM,1:03 PM,5:16 PM,7:07 PM,8:28 PM
24,Tuesday,5:39 AM,7:01 AM,1:03 PM,5:14 PM,7:05 PM,8:26 PM
25,Wednesday,5:40 AM,7:02 AM,1:03 PM,5:12 PM,7:03 PM,8:24 PM
26,Thursday,5:42 AM,7:03 AM,1:02 PM,5:11 PM,7:01 PM,8:22 PM
27,Friday,5:43 AM,7:04 AM,1:02 PM,5:09 PM,6:59 PM,8:20 PM
28,Saturday,5:44 AM,7:06 AM,1:02 PM,5:07 PM,6:57 PM,8:18 PM
29,Sunday,5:45 AM,7:07 AM,1:01 PM,5:06 PM,6:55 PM,8:16 PM
30,Monday,5:47 AM,7:08 AM,1:01 PM,5:04 PM,6:53 PM,8:14 PM
